Functional_Group SMARTS Type Alpha Alpha_stdev Beta Beta_stdev Heavy_atoms Number_of_donor_sites Number_of_acceptor_sites Acceptor_heavy_atom Donor_heavy_atom
Water [OX2][H][H] Both 2.8 0.0 4.5 0.0 O1 2 2 O O
Primary_alcohol [CX4](C([OX2][H])([H])[H])([!F!Cl!Br!I!O!N!c])([!F!Cl!Br!I!O!N!c])[!F!Cl!Br!I!O!N!c] Both 2.69 0.03 5.25 0.1 O1 1 2 O O
Benzyl_primary_alcohol c(C([OX2][H])([H])[H]) Both 2.96 0.00 4.94 0.00 O1 1 2 O O
Primary_alcohol_beta_alkyne [OX2]([H])C(C#C)([H])[H] Both NA NA 3.7 0.00 O1 1 2 O O
Halo_primiary_alcohol [CX4](C)([H])([FClBrI])(C([OX2][H])([H])[H]) Both 3.13 0.22 4.26 0.06 O1 1 2 O O
Methanol C([OX2][H])([H])([H])[H] Both 2.86 0.00 4.84 0.00 O1 1 2 O O
Secondary_alcohol_1 C([OX2][H])([Cc])([Cc])[H] Both 2.61 0.06 5.51 0.07 O1 1 2 O O
Secondary_alcohol_2 [OX2]([CX3]=C)[H] Both NA NA NA NA O1 1 2 O O
Tertiary_alcohol C([CX4])([CX4])([CX4])[OX2][H] Both 2.66 0.01 5.70 0.00 O1 1 2 O O
Alkyl_alkyl_ether C([OX2]C([!c])([!c])[!c])([!c])([!c])[!c] Acceptor NA NA 5.55 0.33 O1 0 2 O None
Alkyl_alkyl_ether_allyl C([OX2]C([!c])([!c])[!c])([!c])(C=C)[!c] Acceptor NA NA NA NA O1 0 2 O None
Alkyl_alkyl_ether_di_allyl C([OX2]C([!c])([!c])(C=C))([!c])(C=C)[!c] Acceptor NA NA 4.6 0.0 O1 0 2 O None
Alkyl_aryl_ether c[OX2][CX4] Acceptor NA NA 3.30 0.00 O1 0 2 O None
Alkyl_alkyl_ether_benzyl [OX2](C(c)([H])[H])C(c)([H])[H] Acceptor NA NA 4.5 0.0 O1 0 2 O None
aryl_aryl_ether c[OX2]c Acceptor NA NA 3.1 0.0 O1 0 2 O None
Ether_sp3_sp2 [CX4][OX2]C=C Acceptor NA NA NA NA O1 0 2 O None
Lactone [CX4]1C[CX4]C(O1)=[OX1] Acceptor NA NA 6.26 0.28 O2 0 2 O None
Vinyl_ester C=C([H])OC(=[OX1])([CX4]) Acceptor NA NA 4.72 0.00 O2 0 2 O None
Carbonate [CX4c]OC(=[OX1])O[CX4c] Acceptor NA NA 4.68 0.00 O3 0 2 O None
Formate [H]C(=[OX1])O([CX4]) Acceptor NA NA 4.52 0.01 O2 0 2 O None
Oxalate [Cc]OC(=[OX1])(C(=[OX1])(O[cC])) Acceptor NA NA 4.51 0.00 O4 0 4 O None
Coumarin O1C(=[OX1])C=CC=C1 Acceptor NA NA 5.95 0.00 O2 0 2 O None
Tri_halo_Esters C(C(=[OX1])O[Cc])([FClBrI])([FClBrI])[FClBrI] Acceptor NA NA 3.31 0.08 O2 0 2 O None
Benzoate c:1:c:c(:c:c:c:1)C(=[OX1])O[CX4] Acceptor NA NA 5.31 0.11 O2 0 2 O None
Halo_ester [CX4]C(=[OX1])O[CX4]([!F!Cl!Br!I!O!N])([!F!Cl!Br!I!O!N])[FClBrI] Acceptor NA NA 4.63 0.11 O2 0 2 O None
Alkyl_alkyl_ester [CX4]([C!R1](=[OX1])O[CX4]([!F!Cl!Br!I])([!F!Cl!Br!I])[!F!Cl!Br!I])([!F!Cl!Br!I])([!F!Cl!Br!I])[!F!Cl!Br!I] Acceptor NA NA 5.51 0.08 O2 0 2 O None
Alkyl_alkyl_ester_sp2 C=C[C!R1](=[OX1])O[CX4] Acceptor NA NA NA NA O2 0 2 O None
Anhydride [CX4c]C(=[OX1])OC(=[OX1])[CX4c] Acceptor NA NA 6.4 0.0 O3 0 4 O None
Primary_aliph_amine [NX3]([H])([H])C([!c!O!N!S!F!Cl!Br!I])([!c!O!N!S!F!Cl!Br!I])[CX4] Both NA NA 7.99 0.16 N1 2 1 N N
Primary_benzyl_amine [NX3]([H])([H])C([!c!O!N!S!F!Cl!Br!I])([!c!O!N!S!F!Cl!Br!I])c Both NA NA 7.34 0.14 N1 2 1 N N
Allyl_amine [NX3]([H])([H])C(C=C)([H])[H] Both NA NA 7.37 0.00 N1 2 1 N N
Secondary_amine_acylic_alkyl [NX3!R]([H])(C([!c])([!c])[!c])C([!c])([!c])[!c] Both NA NA 7.98 0.11 N1 1 1 N N
Secondary_amine_cyclic [NX3R]([H])([CX4R])([CX4R]) Both NA NA 8.63 0.29 N1 1 1 N N
Secondary_amine_benzyl [NX3!R]([H])([CX4!R]([!c])([!c])c)[CX4!R]([!c])([!c])c Both NA NA 6.27 0.00 N1 1 1 N N
Tertiary_aliph_amine [NX3]([CX4])([CX4])[CX4] Acceptor NA NA 7.29 0.45 N1 0 1 N None
Amine_secondary_sp3_sp2 [NX3](C=C)([CX4])[H] Both NA NA NA NA N1 1 1 N N
Primary_aniline_no_heavy_subs c:1(:c(:c(:c(:c(:c:1[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[NX3]([H])[H])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N])[!F!Cl!Br!I!O!N] Both 2.62 0.20 4.67 0.2 N1 2 1 N N
